GM1,GM2,GM3,GM4,GM7,GM8,GM9,GM10,GM11
-3.00E-04,-9.69E-04,-1.91E-03,4.12E-03,,-1.67E-02,3.27E-04,,-1.84E-02
-2.75E-04,-3.35E-03,-1.67E-03,4.29E-03,,-1.80E-02,3.51E-04,,-2.67E-02
-2.45E-04,-5.76E-03,3.45E-04,4.48E-03,,-1.76E-02,3.34E-04,,-3.36E-02
-2.09E-04,-8.01E-03,3.83E-03,5.91E-03,,-1.55E-02,3.68E-04,,-3.83E-02
-1.67E-04,-9.91E-03,8.09E-03,7.78E-03,,-1.29E-02,6.23E-04,,-4.09E-02
-1.19E-04,-1.13E-02,1.22E-02,8.27E-03,,-1.01E-02,9.00E-04,,-4.12E-02
-6.70E-05,-1.22E-02,1.54E-02,7.62E-03,,-6.55E-03,1.22E-03,,-3.94E-02
-1.09E-05,-1.24E-02,1.70E-02,7.95E-03,,-3.10E-03,1.62E-03,,-3.57E-02
4.82E-05,-1.20E-02,1.70E-02,1.01E-02,,-1.50E-04,1.20E-03,,-3.04E-02
1.08E-04,-1.11E-02,1.56E-02,1.24E-02,,2.31E-03,-1.23E-04,,-2.41E-02
1.66E-04,-9.84E-03,1.33E-02,1.35E-02,,3.90E-03,-1.17E-03,,-1.76E-02
2.20E-04,-8.28E-03,1.03E-02,1.39E-02,,4.81E-03,-2.15E-03,,-1.14E-02
2.71E-04,-6.66E-03,7.10E-03,1.41E-02,,5.68E-03,-3.26E-03,,-5.82E-03
3.15E-04,-5.20E-03,3.84E-03,1.41E-02,,6.49E-03,-2.94E-03,,-1.18E-03
3.50E-04,-4.05E-03,8.56E-04,1.32E-02,,6.98E-03,-1.35E-03,,2.37E-03
3.76E-04,-3.36E-03,-1.55E-03,1.14E-02,,7.29E-03,-2.68E-04,,4.55E-03
3.95E-04,-3.19E-03,-3.26E-03,9.91E-03,,7.44E-03,7.09E-04,,5.59E-03
4.04E-04,-3.55E-03,-4.38E-03,1.03E-02,,7.44E-03,2.04E-03,,5.29E-03
4.02E-04,-4.40E-03,-5.16E-03,1.32E-02,,7.33E-03,2.42E-03,,3.25E-03
3.89E-04,-5.64E-03,-5.75E-03,1.72E-02,,7.44E-03,1.80E-03,,-2.14E-04
3.69E-04,-7.10E-03,-6.14E-03,1.92E-02,,8.14E-03,1.46E-03,,-4.69E-03
3.41E-04,-8.55E-03,-6.29E-03,1.79E-02,,9.28E-03,1.23E-03,,-1.01E-02
3.07E-04,-9.74E-03,-6.04E-03,1.50E-02,,1.09E-02,6.37E-04,,-1.59E-02
2.71E-04,-1.04E-02,-5.31E-03,1.29E-02,,1.37E-02,1.09E-04,,-2.14E-02
2.31E-04,-1.05E-02,-4.28E-03,1.19E-02,,1.72E-02,-2.92E-04,,-2.66E-02
1.86E-04,-9.80E-03,-3.35E-03,1.16E-02,,2.13E-02,-7.04E-04,,-3.10E-02
1.39E-04,-8.39E-03,-2.99E-03,1.24E-02,,2.58E-02,-1.07E-03,,-3.42E-02
9.19E-05,-6.32E-03,-3.56E-03,1.43E-02,,2.99E-02,-1.42E-03,,-3.62E-02
4.28E-05,-3.70E-03,-5.12E-03,1.48E-02,,3.35E-02,-1.70E-03,,-3.71E-02
-8.56E-06,-6.87E-04,-7.24E-03,1.15E-02,,3.64E-02,-1.73E-03,,-3.67E-02
-6.09E-05,2.58E-03,-9.20E-03,5.28E-03,,3.83E-02,-1.60E-03,,-3.57E-02
-1.11E-04,5.96E-03,-1.03E-02,-4.29E-04,,3.98E-02,-1.51E-03,,-3.45E-02
-1.56E-04,9.31E-03,-1.01E-02,-4.04E-03,,4.04E-02,-1.15E-03,,-3.34E-02
-1.95E-04,1.24E-02,-9.00E-03,-7.59E-03,,3.86E-02,-5.00E-04,,-3.28E-02
-2.26E-04,1.52E-02,-7.56E-03,-1.33E-02,,3.60E-02,-4.34E-05,,-3.32E-02
-2.51E-04,1.72E-02,-6.47E-03,-2.03E-02,,3.24E-02,4.08E-04,,-3.47E-02
-2.69E-04,1.85E-02,-5.99E-03,-2.58E-02,,2.65E-02,1.36E-03,,-3.74E-02
-2.84E-04,1.90E-02,-5.83E-03,-2.89E-02,,1.83E-02,2.12E-03,,-4.09E-02
-3.00E-04,1.86E-02,-5.39E-03,-3.10E-02,,8.26E-03,1.56E-03,,-4.48E-02
-3.21E-04,1.74E-02,-4.10E-03,-3.26E-02,,-1.92E-03,5.76E-04,,-4.90E-02
-3.49E-04,1.55E-02,-1.80E-03,-3.25E-02,,-1.06E-02,1.69E-04,,-5.25E-02
-3.82E-04,1.30E-02,9.59E-04,-2.91E-02,,-1.85E-02,-3.08E-04,,-5.52E-02
-4.21E-04,1.03E-02,3.12E-03,-2.35E-02,,-2.60E-02,-1.09E-03,,-5.66E-02
-4.63E-04,7.67E-03,3.67E-03,-1.86E-02,,-3.28E-02,-1.62E-03,,-5.66E-02
-5.01E-04,5.40E-03,2.25E-03,-1.56E-02,,-3.88E-02,-1.28E-03,,-5.46E-02
-5.26E-04,3.79E-03,-8.66E-04,-1.29E-02,,-4.42E-02,-5.34E-04,,-5.09E-02
-5.36E-04,3.03E-03,-4.89E-03,-9.10E-03,,-4.86E-02,-2.93E-04,,-4.55E-02
-5.30E-04,3.22E-03,-8.84E-03,-4.60E-03,,-5.13E-02,-1.59E-04,,-3.84E-02
-5.07E-04,4.35E-03,-1.19E-02,-8.96E-04,,-5.27E-02,7.35E-05,,-3.06E-02
-4.66E-04,6.32E-03,-1.38E-02,8.66E-04,,-5.31E-02,-6.04E-05,,-2.27E-02
-4.08E-04,8.99E-03,-1.45E-02,6.37E-04,,-5.22E-02,-3.15E-04,,-1.55E-02
-3.36E-04,1.22E-02,-1.41E-02,-4.50E-04,,-4.95E-02,-4.38E-04,,-1.00E-02
-2.51E-04,1.56E-02,-1.31E-02,-8.36E-04,,-4.55E-02,-2.81E-04,,-6.44E-03
-1.54E-04,1.91E-02,-1.17E-02,3.22E-04,,-4.07E-02,2.84E-04,,-4.49E-03
-4.58E-05,2.22E-02,-1.03E-02,2.95E-03,,-3.55E-02,7.61E-04,,-4.42E-03
6.90E-05,2.47E-02,-8.99E-03,6.45E-03,,-3.07E-02,9.89E-04,,-6.09E-03
1.84E-04,2.64E-02,-8.14E-03,9.64E-03,,-2.73E-02,1.25E-03,,-9.12E-03
2.92E-04,2.70E-02,-7.94E-03,1.12E-02,,-2.55E-02,1.53E-03,,-1.34E-02
3.88E-04,2.67E-02,-8.44E-03,1.10E-02,,-2.45E-02,1.64E-03,,-1.89E-02
4.71E-04,2.54E-02,-9.44E-03,9.68E-03,,-2.48E-02,1.43E-03,,-2.49E-02
5.39E-04,2.33E-02,-1.06E-02,6.60E-03,,-2.59E-02,1.11E-03,,-3.08E-02
5.89E-04,2.06E-02,-1.18E-02,-4.87E-04,,-2.66E-02,9.31E-04,,-3.60E-02
6.21E-04,1.75E-02,-1.24E-02,-1.24E-02,,-2.73E-02,7.57E-04,,-3.96E-02
6.38E-04,1.42E-02,-1.21E-02,-2.61E-02,,-2.81E-02,5.53E-04,,-4.12E-02
6.44E-04,1.10E-02,-1.05E-02,-3.71E-02,,-2.80E-02,3.93E-04,,-4.06E-02
6.36E-04,8.18E-03,-7.41E-03,-4.32E-02,,-2.70E-02,2.84E-04,,-3.80E-02
6.10E-04,5.96E-03,-3.06E-03,-4.68E-02,,-2.63E-02,2.31E-04,,-3.38E-02
5.63E-04,4.45E-03,1.78E-03,-5.06E-02,,-2.63E-02,1.88E-04,,-2.84E-02
4.98E-04,3.69E-03,6.05E-03,-5.52E-02,,-2.68E-02,1.35E-04,,-2.26E-02
4.23E-04,3.60E-03,8.76E-03,-5.95E-02,,-2.78E-02,1.69E-04,,-1.72E-02
3.44E-04,4.01E-03,9.47E-03,-6.27E-02,,-2.98E-02,3.12E-04,,-1.27E-02
2.67E-04,4.65E-03,8.54E-03,-6.56E-02,,-3.30E-02,4.27E-04,,-9.42E-03
1.93E-04,5.25E-03,6.85E-03,-6.87E-02,,-3.71E-02,5.05E-04,,-7.34E-03
1.28E-04,5.58E-03,5.37E-03,-7.18E-02,,-4.15E-02,5.52E-04,,-6.52E-03
7.16E-05,5.44E-03,4.83E-03,-7.42E-02,,-4.58E-02,4.99E-04,,-6.46E-03
2.15E-05,4.73E-03,5.54E-03,-7.51E-02,,-4.94E-02,4.34E-04,,-6.59E-03
-2.26E-05,3.40E-03,7.31E-03,-7.30E-02,,-5.27E-02,4.03E-04,,-6.60E-03
-5.83E-05,1.51E-03,9.57E-03,-6.71E-02,,-5.60E-02,3.54E-04,,-5.77E-03
-8.23E-05,-8.55E-04,1.16E-02,-5.85E-02,,-5.89E-02,3.09E-04,,-3.59E-03
-9.30E-05,-3.58E-03,1.30E-02,-4.85E-02,,-6.23E-02,2.81E-04,,1.81E-04
-9.34E-05,-6.52E-03,1.39E-02,-3.68E-02,,-6.52E-02,2.58E-04,,5.71E-03
-8.72E-05,-9.52E-03,1.46E-02,-2.02E-02,,-6.70E-02,2.49E-04,,1.32E-02
-7.71E-05,-1.24E-02,1.54E-02,2.11E-03,,-6.86E-02,2.49E-04,,2.23E-02
-6.47E-05,-1.50E-02,1.67E-02,2.59E-02,,-7.00E-02,2.60E-04,,3.23E-02
-5.32E-05,-1.71E-02,1.82E-02,4.55E-02,,-7.04E-02,3.00E-04,,4.26E-02
-4.58E-05,-1.86E-02,1.97E-02,5.92E-02,,-7.02E-02,3.37E-04,,5.25E-02
-4.46E-05,-1.94E-02,2.08E-02,6.89E-02,,-6.91E-02,3.48E-04,,6.15E-02
-5.15E-05,-1.96E-02,2.14E-02,7.66E-02,,-6.70E-02,3.28E-04,,6.91E-02
-6.48E-05,-1.92E-02,2.14E-02,8.30E-02,,-6.37E-02,2.95E-04,,7.49E-02
-8.23E-05,-1.84E-02,2.10E-02,8.79E-02,,-5.92E-02,2.72E-04,,7.92E-02
-1.05E-04,-1.72E-02,2.05E-02,9.13E-02,,-5.44E-02,2.47E-04,,8.19E-02
-1.31E-04,-1.58E-02,2.01E-02,9.32E-02,,-4.93E-02,2.17E-04,,8.33E-02
-1.59E-04,-1.45E-02,1.95E-02,9.34E-02,,-4.35E-02,1.95E-04,,8.34E-02
-1.87E-04,-1.33E-02,1.84E-02,9.09E-02,,-3.79E-02,1.76E-04,,8.19E-02
-2.17E-04,-1.24E-02,1.66E-02,8.37E-02,,-3.30E-02,1.60E-04,,7.89E-02
-2.56E-04,-1.18E-02,1.41E-02,7.06E-02,,-2.78E-02,1.51E-04,,7.44E-02
-3.01E-04,-1.17E-02,1.14E-02,5.35E-02,,-2.24E-02,1.48E-04,,6.79E-02
-3.41E-04,-1.18E-02,8.80E-03,3.64E-02,,-1.76E-02,1.43E-04,,5.96E-02
-3.69E-04,-1.23E-02,6.96E-03,2.24E-02,,-1.32E-02,1.38E-04,,5.00E-02
-3.86E-04,-1.30E-02,6.37E-03,1.24E-02,,-9.26E-03,1.35E-04,,3.98E-02
-3.92E-04,-1.37E-02,7.31E-03,5.94E-03,,-6.54E-03,1.31E-04,,3.00E-02
-3.89E-04,-1.45E-02,9.56E-03,1.85E-03,,-4.80E-03,1.27E-04,,2.14E-02
-3.79E-04,-1.51E-02,1.23E-02,-1.20E-03,,-3.99E-03,1.24E-04,,1.49E-02
-3.62E-04,-1.54E-02,1.45E-02,-4.19E-03,,-4.16E-03,1.21E-04,,1.10E-02
-3.39E-04,-1.55E-02,1.53E-02,-7.91E-03,,-4.98E-03,1.17E-04,,9.97E-03
-3.18E-04,-1.54E-02,1.42E-02,-1.26E-02,,-6.29E-03,1.13E-04,,1.17E-02
-3.05E-04,-1.49E-02,1.14E-02,-1.66E-02,,-7.84E-03,1.09E-04,,1.60E-02
-3.02E-04,-1.43E-02,7.38E-03,-1.71E-02,,-9.26E-03,1.07E-04,,2.26E-02
-3.08E-04,-1.35E-02,3.06E-03,-1.24E-02,,-1.12E-02,1.03E-04,,3.08E-02
-3.21E-04,-1.29E-02,-8.88E-04,-4.58E-03,,-1.36E-02,9.71E-05,,4.00E-02
-3.38E-04,-1.25E-02,-3.94E-03,2.66E-03,,-1.52E-02,8.94E-05,,4.92E-02
-3.51E-04,-1.25E-02,-5.88E-03,7.13E-03,,-1.72E-02,8.10E-05,,5.76E-02
-3.56E-04,-1.29E-02,-6.93E-03,9.26E-03,,-1.94E-02,7.35E-05,,6.40E-02
-3.50E-04,-1.38E-02,-7.69E-03,9.72E-03,,-2.12E-02,6.65E-05,,6.80E-02
-3.36E-04,-1.51E-02,-8.69E-03,8.93E-03,,-2.30E-02,6.00E-05,,6.92E-02
-3.17E-04,-1.65E-02,-9.98E-03,8.46E-03,,-2.42E-02,5.41E-05,,6.73E-02
-2.96E-04,-1.79E-02,-1.12E-02,1.00E-02,,-2.44E-02,4.84E-05,,6.23E-02
-2.72E-04,-1.89E-02,-1.21E-02,1.31E-02,,-2.31E-02,4.25E-05,,5.44E-02
-2.43E-04,-1.93E-02,-1.25E-02,1.46E-02,,-2.05E-02,3.66E-05,,4.36E-02
-2.09E-04,-1.90E-02,-1.24E-02,1.16E-02,,-1.72E-02,3.11E-05,,3.10E-02
-1.69E-04,-1.79E-02,-1.17E-02,3.14E-03,,-1.33E-02,2.59E-05,,1.72E-02
-1.27E-04,-1.60E-02,-1.08E-02,-8.78E-03,,-9.06E-03,2.10E-05,,3.13E-03
-8.56E-05,-1.35E-02,-9.79E-03,-2.05E-02,,-4.50E-03,1.64E-05,,-1.02E-02
-5.00E-05,-1.04E-02,-9.22E-03,-2.90E-02,,-7.42E-04,1.17E-05,,-2.20E-02
-2.13E-05,-6.94E-03,-9.39E-03,-3.38E-02,,2.82E-03,7.23E-06,,-3.19E-02
2.01E-06,-3.31E-03,-1.03E-02,-3.55E-02,,6.15E-03,2.88E-06,,-3.94E-02
2.34E-05,1.93E-04,-1.18E-02,-3.43E-02,,7.69E-03,-1.26E-06,,-4.42E-02
4.51E-05,3.26E-03,-1.32E-02,-2.90E-02,,8.12E-03,-5.03E-06,,-4.61E-02
6.73E-05,5.59E-03,-1.42E-02,-1.91E-02,,7.91E-03,-8.45E-06,,-4.57E-02
8.85E-05,6.98E-03,-1.43E-02,-6.44E-03,,6.76E-03,-1.16E-05,,-4.33E-02
1.04E-04,7.31E-03,-1.37E-02,6.47E-03,,4.91E-03,-1.44E-05,,-3.96E-02
1.08E-04,6.57E-03,-1.27E-02,1.83E-02,,3.17E-03,,,-3.49E-02
1.00E-04,4.83E-03,-1.18E-02,2.91E-02,,1.33E-03,,,-2.95E-02
8.28E-05,2.26E-03,-1.12E-02,3.79E-02,,-6.19E-04,,,-2.41E-02
5.61E-05,-9.53E-04,-1.10E-02,4.28E-02,,-3.14E-03,,,-1.88E-02
1.89E-05,-4.60E-03,-1.07E-02,4.37E-02,,-6.83E-03,,,-1.40E-02
-2.76E-05,-8.46E-03,-1.01E-02,4.29E-02,,-1.03E-02,,,-9.92E-03
-7.99E-05,-1.23E-02,-8.86E-03,4.16E-02,,-1.28E-02,,,-6.82E-03
-1.36E-04,-1.59E-02,-7.07E-03,3.75E-02,,-1.41E-02,,,-5.08E-03
-1.91E-04,-1.90E-02,-5.15E-03,2.88E-02,,-1.36E-02,,,-4.71E-03
-2.40E-04,-2.11E-02,-3.61E-03,1.94E-02,,-1.21E-02,,,-5.88E-03
-2.79E-04,-2.22E-02,-2.75E-03,1.58E-02,,-9.88E-03,,,-8.87E-03
-3.09E-04,-2.22E-02,-2.59E-03,1.89E-02,,-6.10E-03,,,-1.35E-02
-3.31E-04,-2.11E-02,-2.92E-03,2.26E-02,,-8.90E-04,,,-1.96E-02
-3.44E-04,-1.89E-02,-3.45E-03,2.07E-02,,4.25E-03,,,-2.70E-02
-3.47E-04,-1.59E-02,-4.00E-03,1.26E-02,,8.37E-03,,,-3.49E-02
-3.39E-04,-1.22E-02,-4.56E-03,1.58E-03,,1.19E-02,,,-4.26E-02
-3.22E-04,-8.10E-03,-5.27E-03,-9.15E-03,,1.45E-02,,,-4.95E-02
-2.96E-04,-3.74E-03,-6.27E-03,-1.68E-02,,1.61E-02,,,-5.52E-02
-2.59E-04,6.64E-04,-7.58E-03,-1.91E-02,,1.66E-02,,,-5.90E-02
-2.11E-04,4.90E-03,-8.86E-03,-1.58E-02,,1.57E-02,,,-6.09E-02
-1.51E-04,8.67E-03,-9.62E-03,-9.52E-03,,1.36E-02,,,-6.13E-02
-8.38E-05,1.17E-02,-9.44E-03,-3.87E-03,,1.07E-02,,,-6.01E-02
-1.56E-05,1.39E-02,-8.19E-03,-5.89E-04,,6.94E-03,,,-5.78E-02
4.65E-05,1.50E-02,-6.14E-03,8.84E-04,,1.42E-03,,,-5.46E-02
1.01E-04,1.50E-02,-3.80E-03,1.97E-03,,-7.28E-03,,,-5.06E-02
1.50E-04,1.40E-02,-1.86E-03,3.70E-03,,-1.65E-02,,,-4.60E-02
1.95E-04,1.22E-02,-8.78E-04,6.54E-03,,-2.34E-02,,,-4.08E-02
2.35E-04,9.66E-03,-1.07E-03,1.02E-02,,-2.84E-02,,,-3.51E-02
2.70E-04,6.66E-03,-2.20E-03,1.33E-02,,-3.28E-02,,,-2.92E-02
2.99E-04,3.38E-03,-3.75E-03,1.46E-02,,-3.74E-02,,,-2.30E-02
3.22E-04,-1.40E-05,-5.11E-03,1.39E-02,,-4.12E-02,,,-1.69E-02
3.37E-04,-3.36E-03,-5.64E-03,1.17E-02,,-4.39E-02,,,-1.14E-02
3.46E-04,-6.46E-03,-4.83E-03,8.48E-03,,-4.66E-02,,,-6.22E-03
3.50E-04,-9.09E-03,-2.59E-03,5.38E-03,,-4.99E-02,,,-1.64E-03
3.52E-04,-1.10E-02,4.94E-04,3.64E-03,,-5.28E-02,,,2.03E-03
3.56E-04,-1.22E-02,3.55E-03,3.69E-03,,-5.60E-02,,,5.03E-03
3.63E-04,-1.24E-02,5.87E-03,4.34E-03,,-5.95E-02,,,7.19E-03
3.73E-04,-1.17E-02,7.21E-03,4.16E-03,,-6.21E-02,,,8.40E-03
3.83E-04,-1.02E-02,7.83E-03,2.96E-03,,-6.48E-02,,,8.73E-03
3.95E-04,-8.00E-03,8.14E-03,1.31E-03,,-6.74E-02,,,8.04E-03
4.09E-04,-5.39E-03,8.50E-03,-7.75E-04,,-6.93E-02,,,6.36E-03
4.29E-04,-2.70E-03,9.16E-03,-3.74E-03,,-7.10E-02,,,3.84E-03
4.53E-04,-3.04E-04,1.01E-02,-7.63E-03,,-7.21E-02,,,4.40E-04
4.83E-04,1.50E-03,1.08E-02,-1.22E-02,,-7.29E-02,,,-3.70E-03
5.16E-04,2.49E-03,1.10E-02,-1.73E-02,,-7.29E-02,,,-8.00E-03
5.47E-04,2.54E-03,1.02E-02,-2.29E-02,,-7.29E-02,,,-1.19E-02
5.71E-04,1.66E-03,8.67E-03,-2.81E-02,,-7.41E-02,,,-1.51E-02
5.86E-04,-9.26E-05,6.53E-03,-3.22E-02,,-7.52E-02,,,-1.70E-02
5.91E-04,-2.55E-03,4.33E-03,-3.54E-02,,-7.54E-02,,,-1.75E-02
5.81E-04,-5.52E-03,2.68E-03,-3.89E-02,,-7.54E-02,,,-1.66E-02
5.56E-04,-8.75E-03,2.03E-03,-4.38E-02,,-7.62E-02,,,-1.45E-02
5.18E-04,-1.19E-02,2.52E-03,-5.02E-02,,-7.66E-02,,,-1.16E-02
4.70E-04,-1.46E-02,3.77E-03,-5.74E-02,,-7.65E-02,,,-8.24E-03
4.13E-04,-1.65E-02,5.07E-03,-6.45E-02,,-7.61E-02,,,-4.78E-03
3.47E-04,-1.76E-02,5.64E-03,-6.99E-02,,-7.48E-02,,,-1.54E-03
2.73E-04,-1.76E-02,5.09E-03,-7.26E-02,,-7.28E-02,,,1.64E-03
1.94E-04,-1.66E-02,3.62E-03,-7.28E-02,,-6.94E-02,,,4.88E-03
1.17E-04,-1.47E-02,1.83E-03,-7.15E-02,,-6.47E-02,,,8.16E-03
4.80E-05,-1.21E-02,4.54E-04,-6.89E-02,,-5.89E-02,,,1.17E-02
-8.55E-06,-8.95E-03,9.31E-05,-6.48E-02,,-5.06E-02,,,1.56E-02
-5.15E-05,-5.51E-03,8.44E-04,-5.94E-02,,-3.93E-02,,,1.98E-02
-8.09E-05,-2.07E-03,2.19E-03,-5.37E-02,,-2.54E-02,,,2.44E-02
-9.64E-05,1.03E-03,3.34E-03,-4.83E-02,,-1.05E-02,,,2.93E-02
-9.99E-05,3.47E-03,3.79E-03,-4.22E-02,,3.43E-03,,,3.44E-02
-9.43E-05,5.01E-03,3.50E-03,-3.35E-02,,1.41E-02,,,3.94E-02
-7.81E-05,5.51E-03,2.89E-03,-2.17E-02,,2.21E-02,,,4.38E-02
-4.73E-05,4.94E-03,2.56E-03,-8.48E-03,,2.90E-02,,,4.71E-02
-1.84E-06,3.36E-03,2.74E-03,3.52E-03,,3.50E-02,,,4.90E-02
5.17E-05,9.30E-04,3.14E-03,1.31E-02,,3.87E-02,,,4.92E-02
1.04E-04,-2.17E-03,3.18E-03,2.07E-02,,3.99E-02,,,4.77E-02
1.50E-04,-5.71E-03,2.44E-03,2.70E-02,,3.89E-02,,,4.45E-02
1.87E-04,-9.45E-03,7.67E-04,3.25E-02,,3.53E-02,,,4.00E-02
2.15E-04,-1.30E-02,-1.63E-03,3.75E-02,,2.96E-02,,,3.41E-02
2.36E-04,-1.61E-02,-4.14E-03,4.15E-02,,2.01E-02,,,2.70E-02
2.47E-04,-1.83E-02,-5.86E-03,4.33E-02,,7.36E-03,,,1.93E-02
2.49E-04,-1.93E-02,-6.24E-03,4.18E-02,,-6.13E-03,,,1.11E-02
2.41E-04,-1.91E-02,-5.40E-03,3.62E-02,,-1.93E-02,,,2.68E-03
2.23E-04,-1.76E-02,-4.07E-03,2.71E-02,,-3.23E-02,,,-5.77E-03
1.90E-04,-1.50E-02,-3.10E-03,1.59E-02,,-4.55E-02,,,-1.41E-02
1.41E-04,-1.13E-02,-3.12E-03,4.05E-03,,-5.69E-02,,,-2.21E-02
7.71E-05,-7.06E-03,-4.31E-03,-7.17E-03,,-6.46E-02,,,-2.94E-02
1.68E-06,-2.69E-03,-6.39E-03,-1.75E-02,,-7.00E-02,,,-3.56E-02
-8.16E-05,1.31E-03,-8.86E-03,-2.79E-02,,-7.51E-02,,,-4.05E-02
-1.71E-04,4.53E-03,-1.12E-02,-3.98E-02,,-7.96E-02,,,-4.33E-02
-2.67E-04,6.67E-03,-1.30E-02,-5.29E-02,,-8.19E-02,,,-4.37E-02
-3.65E-04,7.57E-03,-1.39E-02,-6.61E-02,,-8.38E-02,,,-4.18E-02
-4.57E-04,7.22E-03,-1.41E-02,-7.88E-02,,-8.51E-02,,,-3.72E-02
-5.39E-04,5.73E-03,-1.34E-02,-9.04E-02,,-8.48E-02,,,-3.04E-02
-6.08E-04,3.31E-03,-1.22E-02,-9.96E-02,,-8.45E-02,,,-2.12E-02
-6.66E-04,2.04E-04,-1.07E-02,-1.06E-01,,-8.35E-02,,,-1.04E-02
-7.13E-04,-3.31E-03,-9.35E-03,-1.09E-01,,-8.17E-02,,,1.55E-03
-7.50E-04,-6.95E-03,-8.45E-03,-1.10E-01,,-8.00E-02,,,1.39E-02
-7.80E-04,-1.04E-02,-8.33E-03,-1.08E-01,,-7.84E-02,,,2.58E-02
-8.07E-04,-1.33E-02,-9.06E-03,-1.02E-01,,-7.59E-02,,,3.64E-02
-8.30E-04,-1.55E-02,-1.03E-02,-9.22E-02,,-7.29E-02,,,4.54E-02
-8.47E-04,-1.67E-02,-1.13E-02,-8.04E-02,,-7.01E-02,,,5.23E-02
-8.57E-04,-1.68E-02,-1.14E-02,-6.90E-02,,-6.76E-02,,,5.73E-02
-8.62E-04,-1.60E-02,-1.04E-02,-5.96E-02,,-6.43E-02,,,6.04E-02
-8.64E-04,-1.42E-02,-8.32E-03,-5.21E-02,,-5.99E-02,,,6.19E-02
-8.60E-04,-1.17E-02,-5.56E-03,-4.49E-02,,-5.53E-02,,,6.21E-02
-8.48E-04,-8.69E-03,-2.66E-03,-3.62E-02,,-4.97E-02,,,6.13E-02
-8.26E-04,-5.33E-03,-7.45E-05,-2.51E-02,,-4.41E-02,,,6.01E-02
-7.94E-04,-1.87E-03,2.09E-03,-1.25E-02,,-3.81E-02,,,5.81E-02
-7.58E-04,1.41E-03,4.05E-03,-1.01E-03,,-3.15E-02,,,5.55E-02
-7.20E-04,4.26E-03,6.06E-03,7.05E-03,,-2.70E-02,,,5.27E-02
-6.82E-04,6.47E-03,8.19E-03,1.19E-02,,-2.41E-02,,,4.99E-02
-6.38E-04,7.93E-03,1.03E-02,1.62E-02,,-2.19E-02,,,4.73E-02
-5.87E-04,8.57E-03,1.23E-02,2.24E-02,,-2.12E-02,,,4.52E-02
-5.31E-04,8.45E-03,1.37E-02,3.06E-02,,-2.00E-02,,,4.36E-02
-4.74E-04,7.65E-03,1.45E-02,3.90E-02,,-1.91E-02,,,4.23E-02
-4.18E-04,6.35E-03,1.45E-02,4.50E-02,,-1.87E-02,,,4.12E-02
-3.61E-04,4.76E-03,1.37E-02,4.75E-02,,-1.83E-02,,,4.00E-02
-3.05E-04,3.12E-03,1.24E-02,4.77E-02,,-1.86E-02,,,3.86E-02
-2.51E-04,1.66E-03,1.07E-02,4.74E-02,,-1.88E-02,,,3.65E-02
-1.98E-04,5.62E-04,9.07E-03,4.71E-02,,-1.78E-02,,,3.36E-02
-1.43E-04,-6.75E-05,7.60E-03,4.63E-02,,-1.65E-02,,,2.94E-02
-8.73E-05,-1.82E-04,6.35E-03,4.44E-02,,-1.52E-02,,,2.39E-02
-2.94E-05,1.99E-04,5.36E-03,4.22E-02,,-1.25E-02,,,1.69E-02
3.32E-05,9.83E-04,4.70E-03,4.07E-02,,-9.00E-03,,,8.38E-03
1.03E-04,2.00E-03,4.51E-03,4.11E-02,,-5.07E-03,,,-1.09E-03
1.81E-04,3.05E-03,5.00E-03,4.33E-02,,-3.54E-04,,,-1.12E-02
2.64E-04,3.92E-03,6.23E-03,4.59E-02,,3.88E-03,,,-2.10E-02
3.53E-04,4.45E-03,7.90E-03,4.69E-02,,8.63E-03,,,-2.98E-02
4.48E-04,4.52E-03,9.36E-03,4.49E-02,,1.48E-02,,,-3.71E-02
5.53E-04,4.07E-03,1.00E-02,4.07E-02,,2.07E-02,,,-4.26E-02
6.68E-04,3.11E-03,9.54E-03,3.67E-02,,2.57E-02,,,-4.64E-02
7.87E-04,1.71E-03,8.09E-03,3.41E-02,,3.01E-02,,,-4.84E-02
9.03E-04,-2.11E-05,6.18E-03,3.14E-02,,3.50E-02,,,-4.88E-02
1.01E-03,-1.89E-03,4.53E-03,2.75E-02,,3.93E-02,,,-4.80E-02
1.10E-03,-3.67E-03,3.75E-03,2.37E-02,,4.24E-02,,,-4.62E-02
1.18E-03,-5.11E-03,3.95E-03,2.25E-02,,4.62E-02,,,-4.38E-02
1.25E-03,-6.05E-03,4.71E-03,2.32E-02,,4.93E-02,,,-4.14E-02
1.29E-03,-6.35E-03,5.30E-03,2.11E-02,,5.17E-02,,,-3.93E-02
1.31E-03,-5.98E-03,5.04E-03,1.33E-02,,5.37E-02,,,-3.80E-02
1.32E-03,-4.96E-03,3.61E-03,2.33E-03,,5.39E-02,,,-3.74E-02
1.30E-03,-3.36E-03,1.19E-03,-5.88E-03,,5.36E-02,,,-3.73E-02
1.27E-03,-1.32E-03,-1.59E-03,-7.65E-03,,5.32E-02,,,-3.73E-02
1.23E-03,1.00E-03,-3.91E-03,-4.26E-03,,5.19E-02,,,-3.72E-02
1.17E-03,3.37E-03,-5.01E-03,7.56E-04,,4.94E-02,,,-3.65E-02
1.10E-03,5.55E-03,-4.50E-03,5.54E-03,,4.57E-02,,,-3.51E-02
